date,humidity_pct,cracks_cumulative,site_id
2025-11-16,52.7,0,margina_holdea_t2
2025-11-17,50.9,0,margina_holdea_t2
2025-11-18,56.9,0,margina_holdea_t2
2025-11-19,48.6,0,margina_holdea_t2
2025-11-20,54.9,0,margina_holdea_t2
2025-11-21,50.4,0,margina_holdea_t2
2025-11-22,57.3,0,margina_holdea_t2
2025-11-23,48.4,0,margina_holdea_t2
2025-11-24,57.1,0,margina_holdea_t2
2025-11-25,49.3,0,margina_holdea_t2
2025-11-26,55.0,0,margina_holdea_t2
2025-11-27,47.5,0,margina_holdea_t2
2025-11-28,44.6,0,margina_holdea_t2
2025-11-29,48.9,0,margina_holdea_t2
2025-11-30,49.8,0,margina_holdea_t2
2025-12-01,49.6,0,margina_holdea_t2
2025-12-02,48.3,0,margina_holdea_t2
2025-12-03,52.4,0,margina_holdea_t2
2025-12-04,50.0,0,margina_holdea_t2
2025-12-05,53.2,0,margina_holdea_t2
2025-12-06,50.3,0,margina_holdea_t2
2025-12-07,51.3,0,margina_holdea_t2
2025-12-08,52.8,0,margina_holdea_t2
2025-12-09,54.6,0,margina_holdea_t2
2025-12-10,51.8,0,margina_holdea_t2
2025-12-11,52.5,0,margina_holdea_t2
2025-12-12,54.4,0,margina_holdea_t2
2025-12-13,57.1,0,margina_holdea_t2
2025-12-14,50.6,1,margina_holdea_t2
2025-12-15,47.7,1,margina_holdea_t2
2025-12-16,50.5,1,margina_holdea_t2
2025-12-17,52.4,1,margina_holdea_t2
2025-12-18,52.8,1,margina_holdea_t2
2025-12-19,50.1,1,margina_holdea_t2
2025-12-20,56.3,1,margina_holdea_t2
2025-12-21,53.3,1,margina_holdea_t2
2025-12-22,48.6,1,margina_holdea_t2
2025-12-23,54.1,1,margina_holdea_t2
2025-12-24,49.5,1,margina_holdea_t2
2025-12-25,49.1,1,margina_holdea_t2
2025-12-26,50.8,1,margina_holdea_t2
2025-12-27,51.8,1,margina_holdea_t2
2025-12-28,49.4,1,margina_holdea_t2
2025-12-29,47.0,1,margina_holdea_t2
2025-12-30,51.8,1,margina_holdea_t2
2025-12-31,53.2,1,margina_holdea_t2
2026-01-01,50.0,1,margina_holdea_t2
2026-01-02,51.1,1,margina_holdea_t2
2026-01-03,49.2,1,margina_holdea_t2
2026-01-04,48.1,1,margina_holdea_t2
2026-01-05,48.6,1,margina_holdea_t2
2026-01-06,55.5,1,margina_holdea_t2
2026-01-07,48.4,1,margina_holdea_t2
2026-01-08,51.6,1,margina_holdea_t2
2026-01-09,49.2,1,margina_holdea_t2
2026-01-10,52.4,1,margina_holdea_t2
2026-01-11,52.5,1,margina_holdea_t2
2026-01-12,52.6,1,margina_holdea_t2
2026-01-13,42.4,1,margina_holdea_t2
2026-01-14,51.1,1,margina_holdea_t2
2026-01-15,50.6,1,margina_holdea_t2
2026-01-16,45.1,1,margina_holdea_t2
2026-01-17,49.9,1,margina_holdea_t2
2026-01-18,45.9,1,margina_holdea_t2
2026-01-19,49.4,1,margina_holdea_t2
2026-01-20,54.1,1,margina_holdea_t2
2026-01-21,47.5,1,margina_holdea_t2
2026-01-22,52.9,1,margina_holdea_t2
2026-01-23,49.3,1,margina_holdea_t2
2026-01-24,47.7,1,margina_holdea_t2
2026-01-25,44.6,3,margina_holdea_t2
2026-01-26,49.4,3,margina_holdea_t2
2026-01-27,52.3,3,margina_holdea_t2
2026-01-28,48.7,3,margina_holdea_t2
2026-01-29,45.0,3,margina_holdea_t2
2026-01-30,50.1,3,margina_holdea_t2
2026-01-31,56.1,3,margina_holdea_t2
2026-02-01,49.4,3,margina_holdea_t2
2026-02-02,47.0,3,margina_holdea_t2
2026-02-03,53.3,3,margina_holdea_t2
2026-02-04,49.7,3,margina_holdea_t2
2026-02-05,55.9,3,margina_holdea_t2
2026-02-06,53.4,3,margina_holdea_t2
2026-02-07,51.6,3,margina_holdea_t2
2026-02-08,49.7,3,margina_holdea_t2
2026-02-09,52.3,3,margina_holdea_t2
2026-02-10,50.5,3,margina_holdea_t2
2026-02-11,50.3,3,margina_holdea_t2
2026-02-12,49.0,3,margina_holdea_t2
2026-02-13,48.5,3,margina_holdea_t2
2026-02-14,52.5,3,margina_holdea_t2
2026-02-15,51.4,3,margina_holdea_t2
2026-02-16,45.9,3,margina_holdea_t2
2026-02-17,48.8,3,margina_holdea_t2
2026-02-18,47.4,3,margina_holdea_t2
2026-02-19,51.4,3,margina_holdea_t2
2026-02-20,48.5,3,margina_holdea_t2
2026-02-21,52.0,3,margina_holdea_t2
2026-02-22,53.6,3,margina_holdea_t2
2026-02-23,49.1,3,margina_holdea_t2
2026-02-24,48.0,3,margina_holdea_t2
2026-02-25,55.7,3,margina_holdea_t2
2026-02-26,57.7,3,margina_holdea_t2
2026-02-27,42.7,3,margina_holdea_t2
2026-02-28,56.6,3,margina_holdea_t2
2026-03-01,51.4,3,margina_holdea_t2
2026-03-02,46.3,3,margina_holdea_t2
2026-03-03,50.6,3,margina_holdea_t2
2026-03-04,54.9,3,margina_holdea_t2
2026-03-05,52.6,3,margina_holdea_t2
2026-03-06,46.2,3,margina_holdea_t2
2026-03-07,56.1,3,margina_holdea_t2
2026-03-08,49.8,3,margina_holdea_t2
2026-03-09,48.0,3,margina_holdea_t2
2026-03-10,53.3,3,margina_holdea_t2
2026-03-11,51.1,3,margina_holdea_t2
2026-03-12,51.0,3,margina_holdea_t2
2026-03-13,51.5,3,margina_holdea_t2
2026-03-14,53.9,3,margina_holdea_t2
2026-03-15,52.8,4,margina_holdea_t2
2026-03-16,56.4,4,margina_holdea_t2
2026-03-17,52.9,4,margina_holdea_t2
2026-03-18,52.7,4,margina_holdea_t2
2026-03-19,50.9,4,margina_holdea_t2
2026-03-20,56.0,4,margina_holdea_t2
2026-03-21,56.6,4,margina_holdea_t2
2026-03-22,47.8,5,margina_holdea_t2
2026-03-23,50.6,5,margina_holdea_t2
2026-03-24,55.3,5,margina_holdea_t2
2026-03-25,50.3,5,margina_holdea_t2
2026-03-26,58.3,5,margina_holdea_t2
2026-03-27,44.8,5,margina_holdea_t2
2026-03-28,54.6,5,margina_holdea_t2
2026-03-29,52.8,6,margina_holdea_t2
2026-03-30,62.2,6,margina_holdea_t2
2026-03-31,53.7,6,margina_holdea_t2
2026-04-01,51.6,6,margina_holdea_t2
2026-04-02,59.0,6,margina_holdea_t2
2026-04-03,55.0,6,margina_holdea_t2
2026-04-04,56.0,6,margina_holdea_t2
2026-04-05,54.5,6,margina_holdea_t2
2026-04-06,47.0,6,margina_holdea_t2
2026-04-07,56.6,6,margina_holdea_t2
2026-04-08,55.6,6,margina_holdea_t2
2026-04-09,54.3,6,margina_holdea_t2
2026-04-10,51.6,6,margina_holdea_t2
2026-04-11,52.2,6,margina_holdea_t2
2026-04-12,56.1,6,margina_holdea_t2
2026-04-13,58.0,6,margina_holdea_t2
2026-04-14,56.6,6,margina_holdea_t2
2026-04-15,60.1,6,margina_holdea_t2
2026-04-16,53.2,6,margina_holdea_t2
2026-04-17,57.4,6,margina_holdea_t2
2026-04-18,61.6,6,margina_holdea_t2
2026-04-19,54.5,6,margina_holdea_t2
2026-04-20,56.7,7,margina_holdea_t2
2026-04-21,57.2,7,margina_holdea_t2
2026-04-22,61.6,7,margina_holdea_t2
2026-04-23,54.0,8,margina_holdea_t2
2026-04-24,58.6,8,margina_holdea_t2
2026-04-25,56.7,8,margina_holdea_t2
2026-04-26,57.0,9,margina_holdea_t2
2026-04-27,58.6,10,margina_holdea_t2
2026-04-28,61.2,10,margina_holdea_t2
2026-04-29,55.9,10,margina_holdea_t2
2026-04-30,63.6,11,margina_holdea_t2
2026-05-01,60.0,11,margina_holdea_t2
2026-05-02,62.5,11,margina_holdea_t2
2026-05-03,59.6,12,margina_holdea_t2
2026-05-04,59.9,13,margina_holdea_t2
2026-05-05,67.3,13,margina_holdea_t2
2026-05-06,64.1,13,margina_holdea_t2
2026-05-07,67.8,14,margina_holdea_t2
2026-05-08,61.9,14,margina_holdea_t2
2026-05-09,63.7,14,margina_holdea_t2
2026-05-10,63.3,17,margina_holdea_t2
2026-05-11,61.4,17,margina_holdea_t2
2026-05-12,63.9,17,margina_holdea_t2
2026-05-13,59.1,18,margina_holdea_t2
2026-05-14,65.0,18,margina_holdea_t2
2026-05-15,59.3,18,margina_holdea_t2
