date,water_inflow_l_per_min,site_id
2025-11-16,10.5,margina_holdea_t2
2025-11-17,14.1,margina_holdea_t2
2025-11-18,13.0,margina_holdea_t2
2025-11-19,13.0,margina_holdea_t2
2025-11-20,14.5,margina_holdea_t2
2025-11-21,14.0,margina_holdea_t2
2025-11-22,14.8,margina_holdea_t2
2025-11-23,14.4,margina_holdea_t2
2025-11-24,13.3,margina_holdea_t2
2025-11-25,12.1,margina_holdea_t2
2025-11-26,13.3,margina_holdea_t2
2025-11-27,14.2,margina_holdea_t2
2025-11-28,12.2,margina_holdea_t2
2025-11-29,14.8,margina_holdea_t2
2025-11-30,14.6,margina_holdea_t2
2025-12-01,12.2,margina_holdea_t2
2025-12-02,13.4,margina_holdea_t2
2025-12-03,12.6,margina_holdea_t2
2025-12-04,13.2,margina_holdea_t2
2025-12-05,14.0,margina_holdea_t2
2025-12-06,12.1,margina_holdea_t2
2025-12-07,13.0,margina_holdea_t2
2025-12-08,13.5,margina_holdea_t2
2025-12-09,12.9,margina_holdea_t2
2025-12-10,13.6,margina_holdea_t2
2025-12-11,13.2,margina_holdea_t2
2025-12-12,13.8,margina_holdea_t2
2025-12-13,13.3,margina_holdea_t2
2025-12-14,13.7,margina_holdea_t2
2025-12-15,11.9,margina_holdea_t2
2025-12-16,11.0,margina_holdea_t2
2025-12-17,11.7,margina_holdea_t2
2025-12-18,11.4,margina_holdea_t2
2025-12-19,11.3,margina_holdea_t2
2025-12-20,13.3,margina_holdea_t2
2025-12-21,12.6,margina_holdea_t2
2025-12-22,13.0,margina_holdea_t2
2025-12-23,12.9,margina_holdea_t2
2025-12-24,11.6,margina_holdea_t2
2025-12-25,12.6,margina_holdea_t2
2025-12-26,11.3,margina_holdea_t2
2025-12-27,12.1,margina_holdea_t2
2025-12-28,11.2,margina_holdea_t2
2025-12-29,14.9,margina_holdea_t2
2025-12-30,12.2,margina_holdea_t2
2025-12-31,13.6,margina_holdea_t2
2026-01-01,12.8,margina_holdea_t2
2026-01-02,12.2,margina_holdea_t2
2026-01-03,16.9,margina_holdea_t2
2026-01-04,15.0,margina_holdea_t2
2026-01-05,16.1,margina_holdea_t2
2026-01-06,13.9,margina_holdea_t2
2026-01-07,15.8,margina_holdea_t2
2026-01-08,14.7,margina_holdea_t2
2026-01-09,14.5,margina_holdea_t2
2026-01-10,16.4,margina_holdea_t2
2026-01-11,12.8,margina_holdea_t2
2026-01-12,12.3,margina_holdea_t2
2026-01-13,15.9,margina_holdea_t2
2026-01-14,13.3,margina_holdea_t2
2026-01-15,14.1,margina_holdea_t2
2026-01-16,14.1,margina_holdea_t2
2026-01-17,13.8,margina_holdea_t2
2026-01-18,13.3,margina_holdea_t2
2026-01-19,13.0,margina_holdea_t2
2026-01-20,11.0,margina_holdea_t2
2026-01-21,11.9,margina_holdea_t2
2026-01-22,11.4,margina_holdea_t2
2026-01-23,12.2,margina_holdea_t2
2026-01-24,12.7,margina_holdea_t2
2026-01-25,12.6,margina_holdea_t2
2026-01-26,12.8,margina_holdea_t2
2026-01-27,15.1,margina_holdea_t2
2026-01-28,14.9,margina_holdea_t2
2026-01-29,13.0,margina_holdea_t2
2026-01-30,15.2,margina_holdea_t2
2026-01-31,12.4,margina_holdea_t2
2026-02-01,11.6,margina_holdea_t2
2026-02-02,12.4,margina_holdea_t2
2026-02-03,11.9,margina_holdea_t2
2026-02-04,13.5,margina_holdea_t2
2026-02-05,12.7,margina_holdea_t2
2026-02-06,12.5,margina_holdea_t2
2026-02-07,13.3,margina_holdea_t2
2026-02-08,13.3,margina_holdea_t2
2026-02-09,11.8,margina_holdea_t2
2026-02-10,13.5,margina_holdea_t2
2026-02-11,11.0,margina_holdea_t2
2026-02-12,13.3,margina_holdea_t2
2026-02-13,12.7,margina_holdea_t2
2026-02-14,13.7,margina_holdea_t2
2026-02-15,13.9,margina_holdea_t2
2026-02-16,13.3,margina_holdea_t2
2026-02-17,12.4,margina_holdea_t2
2026-02-18,12.2,margina_holdea_t2
2026-02-19,14.4,margina_holdea_t2
2026-02-20,13.7,margina_holdea_t2
2026-02-21,14.6,margina_holdea_t2
2026-02-22,12.2,margina_holdea_t2
2026-02-23,13.6,margina_holdea_t2
2026-02-24,13.9,margina_holdea_t2
2026-02-25,13.6,margina_holdea_t2
2026-02-26,14.2,margina_holdea_t2
2026-02-27,12.7,margina_holdea_t2
2026-02-28,13.2,margina_holdea_t2
2026-03-01,12.1,margina_holdea_t2
2026-03-02,10.9,margina_holdea_t2
2026-03-03,11.7,margina_holdea_t2
2026-03-04,13.7,margina_holdea_t2
2026-03-05,11.8,margina_holdea_t2
2026-03-06,11.1,margina_holdea_t2
2026-03-07,11.2,margina_holdea_t2
2026-03-08,12.5,margina_holdea_t2
2026-03-09,12.6,margina_holdea_t2
2026-03-10,14.0,margina_holdea_t2
2026-03-11,11.9,margina_holdea_t2
2026-03-12,12.1,margina_holdea_t2
2026-03-13,11.9,margina_holdea_t2
2026-03-14,12.8,margina_holdea_t2
2026-03-15,12.2,margina_holdea_t2
2026-03-16,11.8,margina_holdea_t2
2026-03-17,11.9,margina_holdea_t2
2026-03-18,10.5,margina_holdea_t2
2026-03-19,12.3,margina_holdea_t2
2026-03-20,13.8,margina_holdea_t2
2026-03-21,11.2,margina_holdea_t2
2026-03-22,12.8,margina_holdea_t2
2026-03-23,11.8,margina_holdea_t2
2026-03-24,12.1,margina_holdea_t2
2026-03-25,11.8,margina_holdea_t2
2026-03-26,10.5,margina_holdea_t2
2026-03-27,12.1,margina_holdea_t2
2026-03-28,14.8,margina_holdea_t2
2026-03-29,13.1,margina_holdea_t2
2026-03-30,12.9,margina_holdea_t2
2026-03-31,13.5,margina_holdea_t2
2026-04-01,12.4,margina_holdea_t2
2026-04-02,13.7,margina_holdea_t2
