date,displacement_mm,site_id,velocity_mm_per_month
2025-11-16,0.2810925617106444,targu_ocna,
2025-11-28,0.4990812991157556,targu_ocna,
2025-12-10,0.9694719016719402,targu_ocna,
2025-12-22,-1.4493915747721435,targu_ocna,-1.4420701137356566
2026-01-03,-1.217451414998835,targu_ocna,-1.4304439284288255
2026-01-15,1.3193283698598917,targu_ocna,0.2915470568232929
2026-01-27,-3.269281769893592,targu_ocna,-1.516575162601207
2026-02-08,-1.8111237917861256,targu_ocna,-0.49472698065607557
2026-02-20,0.5442804473276064,targu_ocna,-0.6458732687769044
2026-03-04,-1.1595905252342926,targu_ocna,1.7580760372160829
2026-03-16,-3.5678512259056516,targu_ocna,-1.4639395284329384
2026-03-28,-2.160932430457563,targu_ocna,-2.2543440648209745
2026-04-09,-1.137314448437526,targu_ocna,0.018563397330638907
2026-04-21,-0.35238344328166327,targu_ocna,2.6795564855199903
2026-05-03,-0.09642205856530328,targu_ocna,1.7204253099102162
2026-05-15,-2.1877282797129927,targu_ocna,-0.8753448593962223
